Answer_original,Score_original,Score_final,score_difference
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date = NULL;,0.0,0.75,0.75
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date = NULL;,0.0,0.75,0.75
SELECT name  FROM Artist  WHERE death_date IS NULL ;,1.0,1.0,0.0
SELECT A.name FROM Artist A WHERE A.death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT DISTINCT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE NOT death_rate IS NULL;,0.0,0.25,0.25
SELECT name FROM Artist WHERE death_date = NULL;,0.0,0.75,0.75
SELECT Artist.name FROM Artist WHERE Artist.death_date IS NOT NULL;,0.0,0.25,0.25
SELECT Artist.name FROM Artist WHERE Artist.death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE NOT death_date IS NULL,0.0,0.25,0.25
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT Artist.name  FROM Artist WHERE Artist.death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist  WHERE Artist.death_date = 'NULL';,0.0,0.25,0.25
SELECT name FROM Artist WHERE Artist.death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NOT NULL,0.0,0.25,0.25
SELECT name FROM Artist  WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name  FROM Artist WHERE death_date is NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE Artist.death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT Artist.name FROM Artist WHERE Artist.death_date = NULL;,0.0,0.75,0.75
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name  FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT a.name FROM Artist a WHERE a.death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT name FROM Artist WHERE death_date IS NULL;,1.0,1.0,0.0
SELECT Artist.name FROM Artist WHERE death_date = 'NULL';,0.0,0.25,0.25
SELECT DISTINCT name FROM Artist WHERE Artist.death_date = NULL;,0.0,0.25,0.25
