Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,IPC033-236 v1,"SELECT Journal.issn, COUNT(Paper.doi) FROM Paper, Journal WHERE Paper.year = 2021 AND EXISTS (     SELECT Paper.doi     FROM Paper, Journal     WHERE Journal.issn = Paper.issn     AND Paper.year = 2021     HAVING COUNT(*)>3 )",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: column ""doi"" must appear in the GROUP BY clause or must be part of an aggregate function.Either add it to the GROUP BY list, or use ""ANY_VALUE(doi)"" if the exact value of ""doi"" is not important.. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
2,1,IPC033-236 v1,"SELECT issn, COUNT(doi) FROM Journal, Paper WHERE issn.Journal = issn.Paper AND year = 2021 AND EXISTS ( SELECT COUNT(doi) FROM Paper WHERE year = 2021 AND COUNT(doi) >= 3);",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: Ambiguous reference to column name ""issn"" (use: ""Paper.issn"" or ""Journal.issn""). This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
3,1,IPC033-236 v1,"SELECT j.issn, COUNT(p.doi) AS published_papers FROM Journal j, Paper p WHERE j.issn = p.issn AND p.year = 2021 GROUP BY 1, 2 HAVING published_papers > 3;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: GROUP BY clause cannot contain aggregates!LINE 1: SELECT j.issn, COUNT(p.doi) AS published_papers FROM J...                       ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
4,1,IPC033-236 v1,"SELECT GROUP BY issn, COUNT(doi) FROM Journal, Paper WHERE Journal.issn = Paper.issn WHERE year = 2021 WHERE COUNT(doi) >= 3;",0,1," SYNTAX: The query is not parseable. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
5,1,IPC033-236 v1,"SELECT issn, COUNT (doi) FROM Paper, Journal WHERE Paper.issn = Journal.issn AND Paper.year = 2021 GROUP BY issn HAVING COUNT (doi) > 3  ",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: Ambiguous reference to column name ""issn"" (use: ""Journal.issn"" or ""Paper.issn""). This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
6,1,IPC033-236 v1,"SELECT journal_name, issn, COUNT (Paper.doi) AS number_of_papers  FROM Paper, Journal GROUP BY Journal.journal_name HAVING COUNT (*) >= 3",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: Ambiguous reference to column name ""issn"" (use: ""Journal.issn"" or ""Paper.issn""). This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
7,1,IPC033-236 v1,"SELECT J.journal_name, J.issn, COUNT(P1.doi) AS papers FROM Journal J, Paper P1 WHERE P1.issn = J.issn AND P1.year = 2021 AND papers >= 3 GROUP BY J.journal_name ;  ",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: Referenced column ""papers"" not found in FROM clause!Candidate bindings: ""P1.year""LINE 1: ...1.issn = J.issn AND P1.year = 2021 AND papers >= 3 GROUP BY J.journal_name ;                                                    ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
8,1,IPC033-236 v1,"SELECT issn, COUNT(*) FROM Journal, Paper WHERE Journal.issn = Paper.issn AND Paper.year = ´2021´ AND COUNT(*)>3 GROUP BY issn   ",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: Ambiguous reference to column name ""issn"" (use: ""Paper.issn"" or ""Journal.issn""). This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
9,1,IPC033-236 v1,"Select Journal.journal_name, Journal.issn, Count(Paper.doi) as number_of_papers from Journal JOIN Paper ON Journal.issn=Paper.issn Group by Journal.journal_name Having Count(Select Paper.year from Paper where Paper.year=2021)>=3",0,1," SYNTAX: The query is not parseable. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
10,1,IPC033-236 v1,"SELECT P.issn, COUNT(P.doi) FROM Paper P WHERE P.year = 2021  And COUNT(P.doi) >= 3;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: WHERE clause cannot contain aggregates!LINE 1: ... FROM Paper P WHERE P.year = 2021  And COUNT(P.doi) >= 3;                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
11,1,IPC033-236 v1,"SELECT j.issn, COUNT(*) FROM Journal j, Paper pa WHERE pa.year = 2021 AND j.issn = pa.issn GROUP BY j.issn HAVING COUNT(*) >= 3 ;  ",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
12,1,IPC033-236 v1,"SELECT Journal.issn, COUNT(Paper.issn) AS nr_papers_published FROM Journal, Paper WHERE Paper.issn = Journal.issn AND Paper.year = '2021' AND nr_papers_published >= 3 GROUP BY Journal.issn;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: Referenced column ""nr_papers_published"" not found in FROM clause!Candidate bindings: ""Paper.year""LINE 1: ...urnal.issn AND Paper.year = '2021' AND nr_papers_published >= 3 GROUP BY Journ...                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
13,1,IPC033-236 v1,"SELECT DISTINCT Journal.issn, COUNT(Paper.title) FROM Journal, Paper WHERE Paper.year=´2021´ CHECK(COUNT(Journal.issn >= 3));  ",0,1," SYNTAX: The query is not parseable. . This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
14,1,IPC033-236 v1,"SELECT Journal.issn, COUNT(Paper.doi) FROM Journal, Paper WHERE Journal.issn = Paper.issn AND Paper.year = 2021 AND COUNT(Paper.doi) > 3 GROUP BY Journal.issn;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: WHERE clause cannot contain aggregates!LINE 1: ...= Paper.issn AND Paper.year = 2021 AND COUNT(Paper.doi) > 3 GROUP BY Journal.i...                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
15,1,IPC033-236 v1,"SELECT J.issn, number FROM Journal J, Paper P WHERE number = SUM(doi) AND J.issn = P.issn;",0.25,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: Referenced column ""number"" not found in FROM clause!Candidate bindings: ""P.year""LINE 1: ..., number FROM Journal J, Paper P WHERE number = SUM(doi) AND J.issn = P.issn;                                                  ^. This quiz was graded as an advanced quiz. We placed more weight on results, then semantics and finally syntax."
