id,query,syntax,semantic,results,correctness level,normalized value
115,,2,0,0,3,0.0769231
121,,2,0,0,3,0.0769231
154,,2,0,0,3,0.0769231
210,,2,0,0,3,0.0769231
223,,2,0,0,3,0.0769231
251,,2,0,0,3,0.0769231
255,,2,0,0,3,0.0769231
274,,2,0,0,3,0.0769231
279,,2,0,0,3,0.0769231
319,,2,0,0,3,0.0769231
323,,2,0,0,3,0.0769231
324,,2,0,0,3,0.0769231
334,,2,0,0,3,0.0769231
70,(SELECT album_title FROM Album WHERE Album = compilation),2,0,0,3,0.0769231
149,-- I cannot check this answer because postgresql does not like japanese characters SELECT album_title FROM album WHERE type = 'compilation';,2,0,0,3,0.0769231
316,--SELECT album_title FROM Album WHERE type='compilation';,2,0,0,3,0.0769231
267,=,0,0,0,1,0
120,FROM Album SELECT album_title WHERE type='compilation';,0,0,0,1,0
145,"PROJECT album_title FROM Album WHERE type='compilation' RADB expression. Misread the question, usefull for practice I quess. \project_{album_title}(\select{type='compilation'}(Album)) ",0,0,0,1,0
216,Project album_title select type='compilation',0,0,0,1,0
28,SELECT Album.album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
104,SELECT Album.album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
272,SELECT Album.album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
288,SELECT Album.album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
30,SELECT Album.album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
5,SELECT Album.album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
55,SELECT Album.album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
68,SELECT Album.album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
1,SELECT Album.album_title FROM Album WHERE Album.type='compilation';,2,2,2,27,1
138,SELECT Album.album_title FROM Album WHERE Album.type='compilation';,2,2,2,27,1
165,SELECT Album.album_title FROM Album WHERE Album.type='compilation';,2,2,2,27,1
58,SELECT Album.album_title FROM Album WHERE Album.type='compilation';,2,2,2,27,1
127,SELECT Album.album_title FROM Album Where Album.type = 'compilation';,2,2,2,27,1
156,SELECT Album.album_title FROM Album Where Album.type = 'compilation';,2,2,2,27,1
240,SELECT Album.album_title FROM Album Where Album.type = 'compilation';,2,2,2,27,1
34,SELECT Album.album_title FROM Album Where Album.type = 'compilation';,2,2,2,27,1
67,SELECT Album.album_title FROM Album Where Album.type = 'compilation';,2,2,2,27,1
326,SELECT Album.album_title from Album WHERE Album.type='compilation',2,2,2,27,1
273,SELECT Album.album_title from Album WHERE type = 'compilation';,2,2,2,27,1
235,SELECT Album.album_title from Album Where Album.type = 'compilation' ;,2,2,2,27,1
118,SELECT Album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
282,SELECT Album_title FROM Album WHERE type='compilation' ;,2,2,2,27,1
18,SELECT DISTINCT album_title FROM Album WHERE Album.type = 'compilation' ;,2,2,2,27,1
12,SELECT DISTINCT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
180,SELECT DISTINCT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
176,SELECT DISTINCT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
208,SELECT DISTINCT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
9,SELECT DISTINCT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
31,SELECT DISTINCT album_title FROM Album WHERE type = 'compliation';,2,1,1,15,0.538462
232,"SELECT DISTINCT album_title FROM Album WHERE type=""compilation"";",2,0,0,3,0.0769231
312,"SELECT DISTINCT album_title FROM Album WHERE type=""compilation"";",2,0,0,3,0.0769231
306,SELECT DISTINCT album_title FROM Album WHERE type='compilation';,2,2,2,27,1
146,SELECT album.album_title FROM album WHERE album.type = 'compilation';,2,2,2,27,1
248,SELECT album.album_title FROM album WHERE album.type='compilation';,2,2,2,27,1
32,SELECT album.title FROM Album WHERE Album.type = 'compilation',2,0,0,3,0.0769231
150,SELECT album.title FROM Album WHERE type = 'compilation';,2,0,0,3,0.0769231
56,SELECT album_Title FROM Album WHERE type='compilation',2,2,2,27,1
225,SELECT album_title > FROM Album > WHERE type='compilation';,0,0,0,1,0
271,SELECT album_title FROM ALBUM WHERE type = 'compilation';,2,2,2,27,1
46,SELECT album_title FROM ALbum WHERE type = 'compilation';,2,2,2,27,1
11,SELECT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
133,SELECT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
175,SELECT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
182,SELECT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
184,SELECT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
254,SELECT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
297,SELECT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
60,SELECT album_title FROM Album WHERE Album.type = 'compilation';,2,2,2,27,1
160,SELECT album_title FROM Album WHERE Album.type = Album.compilation,2,0,0,3,0.0769231
65,SELECT album_title FROM Album WHERE Album.type = compilation,2,0,0,3,0.0769231
106,SELECT album_title FROM Album WHERE Album.type ='compilation';,2,2,2,27,1
328,SELECT album_title FROM Album WHERE Album.type ='compilation';,2,2,2,27,1
348,SELECT album_title FROM Album WHERE Album.type='compilation';,2,2,2,27,1
123,SELECT album_title FROM Album WHERE album.type = 'compilation';,2,2,2,27,1
39,SELECT album_title FROM Album WHERE album.type = 'compilation';,2,2,2,27,1
59,SELECT album_title FROM Album WHERE album_id = compilation;,2,0,0,3,0.0769231
212,"SELECT album_title FROM Album WHERE type = ""compilation"" ;",2,0,0,3,0.0769231
78,"SELECT album_title FROM Album WHERE type = ""compilation"";",2,0,0,3,0.0769231
317,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
298,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
233,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
211,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
139,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
134,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
140,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
189,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
266,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
292,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
308,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
36,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
72,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
94,SELECT album_title FROM Album WHERE type = 'compilation',2,2,2,27,1
226,SELECT album_title FROM Album WHERE type = 'compilation' ;,2,2,2,27,1
24,SELECT album_title FROM Album WHERE type = 'compilation' ;,2,2,2,27,1
95,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
90,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
69,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
57,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
50,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
4,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
40,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
313,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
307,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
289,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
29,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
290,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
283,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
280,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
256,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
257,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
258,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
259,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
236,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
237,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
227,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
166,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
161,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
14,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
110,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
107,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
101,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
112,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
126,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
129,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
131,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
136,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
144,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
158,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
159,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
164,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
168,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
178,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
179,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
187,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
192,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
194,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
195,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
197,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
2,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
20,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
201,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
205,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
206,SELECT album_title FROM Album WHERE type = 'compilation';,2,2,2,27,1
