id,query,syntax,semantic,results,correctness level,normalized value
115,,2,0,0,3,0.0769231
121,,2,0,0,3,0.0769231
154,,2,0,0,3,0.0769231
210,,2,0,0,3,0.0769231
223,,2,0,0,3,0.0769231
251,,2,0,0,3,0.0769231
274,,2,0,0,3,0.0769231
279,,2,0,0,3,0.0769231
319,,2,0,0,3,0.0769231
323,,2,0,0,3,0.0769231
324,,2,0,0,3,0.0769231
334,,2,0,0,3,0.0769231
54,,2,0,0,3,0.0769231
245," SELECT Artist.name FROM Artist , Produces WHERE Artist.artist_id = Produces.artist_id;",2,0,0,3,0.0769231
225," SELECT DISTINCT name > FROM Artist, Produces > WHERE Artist.artist_id=Produces.artist_id;",0,0,0,1,0
70,(SELECT name FROM Artist) UNION (SELECT Artist FROM produces),2,0,0,3,0.0769231
40,(SELECT name FROM Artist) UNION (Select name FROM Produces);,2,0,0,3,0.0769231
165,"-- I was adviced against doing this but this should work so I wanted to show it <3 -- SELECT DISTINCT Artist.name -- FROM Artist -- NATURAL JOIN Produces; -- My actual Answer SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,0,0,3,0.0769231
316,"--SELECT DISTINCT artist.name FROM Artist, Produces WHERE Artist.artist_id == Produces.artist_id;",2,0,0,3,0.0769231
267,=,0,0,0,1,0
343,D SELECT DISTINCT name > FROM Artist > NATURAL JOIN Produces;,0,0,0,1,0
145,PROJECT name FROM Artist JOIN Produces,0,0,0,1,0
347,"SELECT * FROM (SELECT DISTINCT name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id);",0,0,0,1,0
192,SELECT Artist.name FROM Artist INNER JOIN Produces ON Artist.artist_id = Produces.artist_id;,2,0,0,3,0.0769231
289,SELECT Artist.name FROM Artist NATURAL JOIN Produces;,2,0,0,3,0.0769231
290,"SELECT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,0,0,3,0.0769231
202,"SELECT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id; ",2,0,0,3,0.0769231
218,"SELECT Artist.name FROM Artist, Produces WHERE Artist.artist_id=Produces.artist_id;",2,0,0,3,0.0769231
128,"SELECT Artist.name FROM Artist, Produces; WHERE Artist.artist_id = Produces.produces_id;",1,0,0,2,0.0384615
1,"SELECT Artist.name FROM Artist,Produces WHERE Produces.artist_id=Artist.artist_id;",2,0,0,3,0.0769231
160,"SELECT Artist.name From Artist, Produces Where Artist.name = Produces.name",2,0,0,3,0.0769231
15,"SELECT Artist.name, FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",0,0,0,1,0
163,"SELECT Artist.name, FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",0,0,0,1,0
29,"SELECT Artists.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,0,0,3,0.0769231
68,"SELECT Artists.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,0,0,3,0.0769231
190,"SELECT COUNT (*) FROM (SELECT DISTINCT name FROM Artist, Produces WHERE Artist.artist_id=Produces.artist_id) AS query_answer;",2,0,1,12,0.423077
58,"SELECT COUNT( DISTINCT Artist.name) FROM Artist, Produces WHERE Artist.artist_id=Produces.artist_id;",2,0,1,12,0.423077
81,"SELECT COUNT(*) FROM (SELECT DISTINCT (name) FROM Artist, Produces WHERE Artist.artist_id=Produces.artist_id) AS bernie_best_always_solves_problems;",2,0,1,12,0.423077
6,"SELECT COUNT(DISTINCT(name)) FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,0,1,12,0.423077
176,"SELECT DISTINCT A.name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,2,2,27,1
180,"SELECT DISTINCT A.name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,2,2,27,1
9,"SELECT DISTINCT A.name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,2,2,27,1
10,"SELECT DISTINCT A.name FROM Artist A, Produces P WHERE P.artist_id = A.artist_id; ",2,2,2,27,1
74,"SELECT DISTINCT Artist.Name FROM Artist,Produces WHERE produces.artist_id=artist.artist_id; ",2,2,2,27,1
116,SELECT DISTINCT Artist.name FROM Artist INNER JOIN Produces ON Artist .artist_id = Produces .artist_id;,2,2,2,27,1
28,SELECT DISTINCT Artist.name FROM Artist NATURAL JOIN Produces;,2,2,2,27,1
158,SELECT DISTINCT Artist.name FROM Artist NATURAL JOIN Produces;,2,2,2,27,1
134,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id",2,2,2,27,1
306,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id",2,2,2,27,1
113,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id ; ",2,2,2,27,1
200,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id AND Artist.name <> Produces.track_id;",2,2,2,27,1
55,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,2,2,27,1
195,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,2,2,27,1
229,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,2,2,27,1
250,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,2,2,27,1
302,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,2,2,27,1
329,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,2,2,27,1
4,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,2,2,27,1
326,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.artist_id=Produces.artist_id",2,2,2,27,1
18,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE Artist.name = Produces.name ;",2,0,0,3,0.0769231
234,"SELECT DISTINCT Artist.name FROM Artist, Produces WHERE artist.artist_id = Produces.artist_id;",2,2,2,27,1
5,"SELECT DISTINCT Artist.name FROM Artist, Produces;",2,0,0,3,0.0769231
67,"SELECT DISTINCT Artist.name FROM Artist, Produces;",2,0,0,3,0.0769231
136,"SELECT DISTINCT Artist.name FROM Artist, Produces; ",2,0,0,3,0.0769231
247,"SELECT DISTINCT Artist.name FROM Artist, produces WHERE produces.artist_id = Artist.artist_id;",2,2,2,27,1
297,"SELECT DISTINCT Artist.name FROM Artist,Produces WHERE Artist.artist_id == Produces.artist_id;",2,0,0,3,0.0769231
261,"SELECT DISTINCT Artist.name FROM Artists, produces WHERE Artist.artist_id = Produces.artist_id ;",2,0,0,3,0.0769231
288,SELECT DISTINCT Artist.name FROM Produces NATURAL JOIN Artist WHERE Artist.artist_id = Produces.artist_id;,2,2,2,27,1
31,"SELECT DISTINCT Artist.names FROM Artist, Produces WHERE Produces.artist_id = Artist.artist_id;",2,0,0,3,0.0769231
89,SELECT DISTINCT NAME FROM artist A JOIN produces P ON A.artist_id = P.artist_id;,2,2,2,27,1
282,SELECT DISTINCT Name FROM Artist JOIN Produces;,0,0,0,1,0
117,SELECT DISTINCT Name FROM Artist NATURAL JOIN Produces;,2,2,2,27,1
168,"SELECT DISTINCT Name FROM Artist, Produces WHERE Artist.artist_id = Produces.artist_id;",2,2,2,27,1
42,"SELECT DISTINCT a.* FROM Artist a, Produces p WHERE a.artist_id = p.artist_id;",2,0,0,3,0.0769231
146,"SELECT DISTINCT artist.name FROM artist, produces WHERE artist.artist_id = produces.artist_id;",2,2,2,27,1
120,"SELECT DISTINCT artist.name FROM artist,produces WHERE produces.artist_id=artist.artist_id;",2,2,2,27,1
149,SELECT DISTINCT artist_id FROM produces;,2,0,0,3,0.0769231
69,SELECT DISTINCT name FROM (Artist AND Produces);,0,0,0,1,0
309,SELECT DISTINCT name FROM (Artist INNER JOIN Produces ON Artist._artist_id = Produces.artist_id);,2,0,0,3,0.0769231
119,"SELECT DISTINCT name FROM Artist , Produces WHERE Artist.artist_id = Produces.artist_id ;",2,2,2,27,1
254,"SELECT DISTINCT name FROM Artist , Produces; ",2,0,0,3,0.0769231
140,"SELECT DISTINCT name FROM Artist A, Produces P",2,0,0,3,0.0769231
50,"SELECT DISTINCT name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,2,2,27,1
110,"SELECT DISTINCT name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,2,2,27,1
198,"SELECT DISTINCT name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,2,2,27,1
232,"SELECT DISTINCT name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,2,2,27,1
312,"SELECT DISTINCT name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id;",2,2,2,27,1
109,"SELECT DISTINCT name FROM Artist A, Produces P WHERE A.artist_id = P.artist_id; ",2,2,2,27,1
23,SELECT DISTINCT name FROM Artist INNER JOIN Produces ON (Artist.artist_id = Produces.artist_id);,2,2,2,27,1
32,SELECT DISTINCT name FROM Artist INNER JOIN Produces ON Artist.artist_id = Produces.artist_id,2,2,2,27,1
167,SELECT DISTINCT name FROM Artist INNER JOIN Produces ON Artist.artist_id = Produces.artist_id;,2,2,2,27,1
271,SELECT DISTINCT name FROM Artist INNER JOIN Produces ON Artist.artist_id = Produces.artist_id;,2,2,2,27,1
43,SELECT DISTINCT name FROM Artist INNER JOIN Produces ON Artist.artist_id=Produces.artist_id;,2,2,2,27,1
318,SELECT DISTINCT name FROM Artist INNER JOIN Produces ON Artist.artist_id=Produces.artist_id;,2,2,2,27,1
63,SELECT DISTINCT name FROM Artist INNER JOIN Produces;,0,0,0,1,0
262,SELECT DISTINCT name FROM Artist JOIN Produces ON Artist.artist_id=Produces.artist_id;,2,2,2,27,1
196,SELECT DISTINCT name FROM Artist JOIN Produces;,0,0,0,1,0
314,SELECT DISTINCT name FROM Artist JOIN Produces;,0,0,0,1,0
233,SELECT DISTINCT name FROM Artist NATURAL JOIN Produces,2,2,2,27,1
48,SELECT DISTINCT name FROM Artist NATURAL JOIN Produces,2,2,2,27,1
320,SELECT DISTINCT name FROM Artist NATURAL JOIN Produces;,2,2,2,27,1
246,SELECT DISTINCT name FROM Artist NATURAL JOIN Produces;,2,2,2,27,1
164,SELECT DISTINCT name FROM Artist NATURAL JOIN Produces;,2,2,2,27,1
