id,query,syntax,semantic,results,correctness level,normalized value,,,
115,,2,0,0,3,0.0769231,,,
121,,2,0,0,3,0.0769231,,,
15,,2,0,0,3,0.0769231,,,
150,,2,0,0,3,0.0769231,,,
154,,2,0,0,3,0.0769231,,,
163,,2,0,0,3,0.0769231,,,
210,,2,0,0,3,0.0769231,,,
223,,2,0,0,3,0.0769231,,,
228,,2,0,0,3,0.0769231,,,
251,,2,0,0,3,0.0769231,,,
274,,2,0,0,3,0.0769231,,,
279,,2,0,0,3,0.0769231,,,
298,,2,0,0,3,0.0769231,,,
317,,2,0,0,3,0.0769231,,,
319,,2,0,0,3,0.0769231,,,
323,,2,0,0,3,0.0769231,,,
324,,2,0,0,3,0.0769231,,,
334,,2,0,0,3,0.0769231,,,
65,,2,0,0,3,0.0769231,,,
92,,2,0,0,3,0.0769231,,,
62," SELECT * FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id=Writes.track_id AND Track.track_title='Californication';",2,2,2,27,1,,,
225," SELECT Artist.name > FROM Track, Writes, Artist > WHERE Track.track_title='Californication' > AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",0,0,0,1,0,,,
245," SELECT Writes.artist_id,Artist.artist_id, Track.track_id, Writes.track_id , track_title FROM Writes,Artist,Track WHERE Track.track_id=Writes.track_id AND track_title='Californication'AND Writes.artist_id=Artist.artist_id;",2,0,1,12,0.423077,,,
239," SELECT name FROM Track, Writes, Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",2,0,1,12,0.423077,,,
271,"-- Track.title doesn't exist so I used Track.track_title SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id; ",2,0,0,3,0.0769231,,,
267,=,0,0,0,1,0,,,
343,"D SELECT DISTINCT Artist.name > FROM Artist, Track, Writes > WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",0,0,0,1,0,,,
291,"SELECT * FROM 	 (SELECT * FROM (SELECT * FROM Track,Writes,Artist WHERE Track.title= 'Californication') WHERE Track.track_id = Writes.track_id) WHERE Writes.artist_id=Artist.artist_id; ",0,0,0,1,0,,,
116,SELECT * FROM Artist INNER JOIN Writes ON Writes.artist_id = Artist.artist_id INNER JOIN Track ON Track.track_id = Writes.track_id WHERE Track.track_title = 'Californication';,2,2,2,27,1,,,
196,SELECT * FROM Artist JOIN Writes ON Artist.artist_id = Writes.artist_id JOIN Track ON Track.track_id = Writes.track_id WHERE Track.track_title = 'Californication';,2,2,2,27,1,,,
266,SELECT * FROM Artist WHERE Writes.artist_id=Artist.artist_id AND Track.track_id=Writes.track_id AND Track.title='Californication',2,0,0,3,0.0769231,,,
212,"SELECT * FROM Artist WHERE artist_id = (SELECT artist_id FROM Writes WHERE track_id = (SELECT track_id FROM Track WHERE title = ""Californication"")) ;",2,0,0,3,0.0769231,,,
31,"SELECT * FROM Artist, Track, Writes WHERE Track.track_title = 'Californication' AND Track.artist_id = Writes.artist_id AND Writes.artist_id = Artist.artist_id",2,0,0,3,0.0769231,,,
5,"SELECT * FROM Artist, Track, Writes WHERE Track.track_title = 'Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id;",2,2,2,27,1,,,
226,"SELECT * FROM Artist, Track, Writes WHERE Track.track_title='Californication' AND Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id ;",2,2,2,27,1,,,
281,"SELECT * FROM Artist, Writes, Track WHERE Artist.artist_id = Writes.artist_id AND Track.track_id = Writes.track_id AND Track.title = 'Californication'",2,0,0,3,0.0769231,,,
295,"SELECT * FROM Artist, Writes, Track WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';",2,2,2,27,1,,,
23,SELECT * FROM Track INNER JOIN Writes ON (Track.track_id = Writes.track_id) INNER JOIN Artist ON (Writes.artist_id = Artist.artist_id) WHERE Track.track_title = 'Californication';,2,2,2,27,1,,,
192,SELECT * FROM Track JOIN Writes ON Track.track_id = Writes.track_id JOIN Artist ON Writes.artist_id = Artist.artist_id AND Track.title = 'Californication';,2,0,0,3,0.0769231,,,
47,SELECT * FROM Track JOIN Writes ON Track.track_id=Writes.track_id JOIN Artist ON Writes.artist_id=Artist.artist_id WHERE Track.track_title='Californication';,2,2,2,27,1,,,
58,SELECT * FROM Track NATURAL JOIN Writes NATURAL JOIN Artist WHERE Track.track_title='Californication';,2,0,1,12,0.423077,,,
270,SELECT * FROM Track NATURAL JOIN Writes NATURAL JOIN Artist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication';,2,0,1,12,0.423077,,,
68,"SELECT * FROM Track T, Writes W, Artist A WHERE T.track_title = 'Californication' AND T.track_id = W.track_id AND W.artist_id = A.artist_id;",2,2,2,27,1,,,
50,"SELECT * FROM Track T, Writes W, Artist A WHERE T.track_title = 'Californication' AND T.track_id=W.track_id AND W.artist_id=A.artist_id;",2,2,2,27,1,,,
285,"SELECT * FROM Track T, Writes W, Artist A WHERE T.track_title='Californication' AND T.track_id=W.track_id AND W.artist_id=A.artist_id;",2,2,2,27,1,,,
180,"SELECT * FROM Track T, Writes W, Artist A WHERE W.artist_id = A.artist_id AND T.track_id = W.track_id AND T.track_title = 'Califnicatio';",2,0,1,12,0.423077,,,
140,"SELECT * FROM Track T, Writes W, Artist A WHERE W.artist_id = A.artist_id AND W.track_id = T.track_id AND T.track_title = 'Californication'",2,2,2,27,1,,,
306,"SELECT * FROM Track T, Writes W, Artist A WHERE W.artist_id=A.artist_id AND T.track_id=W.track_id AND T.track_title='Californication';",2,2,2,27,1,,,
256,"SELECT * FROM Track t, Writes w, Artist a WHERE t.track_id = w.track_id AND t.track_title = 'Californication' AND w.artist_id = a.artist_id; ",2,2,2,27,1,,,
21,"SELECT * FROM Track t, Writes w, Artist a WHERE w.artist_id = a.artist_id AND t.track_id = w.track_id AND t.track_title = 'Californication';",2,2,2,27,1,,,
16,"SELECT * FROM Track t,Writes w, Artist a WHERE w.artist_id = a.artist_id AND t.track_id =w.track_id AND t.track_title ='Californication'; ",2,2,2,27,1,,,
49,"SELECT * FROM Track, Writes, Arist WHERE Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND Track.track_title = 'Californication' ",2,0,0,3,0.0769231,,,
77,"SELECT * FROM Track, Writes, Artist WHERE (Track.track_title = 'Californication') AND (Track.track_id = Writes.track_id) AND (Writes.artist_id = Artist.artist_id);",2,2,2,27,1,,,
327,"SELECT * FROM Track, Writes, Artist WHERE (Track.track_title='Californication') AND (Track.track_id=Writes.track_id) AND (Writes.artist_id=Artist.artist_id);",2,2,2,27,1,,,
100,"SELECT * FROM Track, Writes, Artist WHERE (Track.track_title='Californication') AND (Track.track_id=Writes.track_id) AND (Writes.artist_id=Artist.artist_id); -- Note that WHERE (Track.title='Californication') was changed to WHERE (Track.track_title='Californication') as Track.title does not exist in the file used",2,2,2,27,1,,,
90,"SELECT * FROM Track, Writes, Artist WHERE (Writes.artist_id = Artist.artist_id AND Track.track_id = Writes.track_id AND track_title = 'Californication');",2,2,2,27,1,,,
95,"SELECT * FROM Track, Writes, Artist WHERE (Writes.artist_id=Artist.artist_id) AND (Track.track_id=Writes.track_id) AND (Track.track_title='Californication');",2,2,2,27,1,,,
254,"SELECT * FROM Track, Writes, Artist WHERE Track.title = 'Californication' AND (Track.track_id = Writes.track_id AND (Writes.artist_id = Artist.artist_id)); ",2,0,0,3,0.0769231,,,
153,"SELECT * FROM Track, Writes, Artist WHERE Track.title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id",2,0,0,3,0.0769231,,,
189,"SELECT * FROM Track, Writes, Artist WHERE Track.title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id",2,0,0,3,0.0769231,,,
160,"SELECT * FROM Track, Writes, Artist WHERE Track.title = Californication AND Track,track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id",0,0,0,1,0,,"ERROR:  syntax error at or near ""WHERE"" LINE 1: ...rites", Artist WHERE Track.title='Californication' WHERE Trac...                                                              ^ 
268,"SELECT * FROM Track, Writes, Artist WHERE Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id AND Track.track_title = 'Californication';",2,2,2,27,1,,,
105,"SELECT * FROM Track, Writes, Artist WHERE Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id AND Track.track_title = 'Californication';",2,2,2,27,1,,,
55,"SELECT * FROM Track, Writes, Artist WHERE Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id AND Track.track_title = 'Californication';",2,2,2,27,1,,,
347,"SELECT * FROM Track, Writes, Artist WHERE Track.track_id=Writes.track_id AND Writes.artist_id=Artist.artist_id AND Track.track_title='Californication';",2,2,2,27,1,,,
205,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Artist.artist_id = Writes.artist_id;",2,2,2,27,1,,,
63,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",2,2,2,27,1,,,
229,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",2,2,2,27,1,,,
197,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",2,2,2,27,1,,,
200,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",2,2,2,27,1,,,
289,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",2,2,2,27,1,,,
293,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",2,2,2,27,1,,,
321,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",2,2,2,27,1,,,
4,"SELECT * FROM Track, Writes, Artist WHERE Track.track_title = 'Californication' AND Track.track_id = Writes.track_id AND Writes.artist_id = Artist.artist_id;",2,2,2,27,1,,,
