Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,IPC033-293 v1,SELECT album_id FROM Release WHERE country = 'Belgium';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
2,1,IPC033-293 v1,SELECT album_id FROM Release WHERE country = 'Belgium';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
3,1,IPC033-293 v1,SELECT album_id FROM Release WHERE country = 'Belgium';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
4,1,IPC033-293 v1,SELECT album_id FROM Release WHERE country = 'Belgium';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
5,1,IPC033-293 v1,SELECT DISTINCT album_id  FROM Release  WHERE country = ´Belgium´;,0.75,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct. . Binder Error: Referenced column ""´Belgium´"" not found in FROM clause!Candidate bindings: ""Release.album_id""LINE 1: ...album_id  FROM Release  WHERE country = ´Belgium´;                                                   ^. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
6,1,IPC033-293 v1,"SELECT album_id, country FROM Release WHERE country ='Belgium' ;",0.5,1," SYNTAX: Correct! Well done.  RESULTS: Not correct! Though, the correct results are contained within the query results,  they were not correctly filtered.  SEMANTICS: The query does not have correct semantics. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
7,1,IPC033-293 v1,SELECT R.album_id FROM Release R WHERE R.country = 'Belgium';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
8,1,IPC033-293 v1,SELECT Album.album_id FROM Album NATURAL JOIN Release WHERE country = 'Belgium';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
9,1,IPC033-293 v1,SELECT album_id FROM Release WHERE country='Belgium';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
10,1,IPC033-293 v1,SELECT album_id FROM Release WHERE country = 'Belgium';,1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
11,1,IPC033-293 v1,"SELECT Album.album_id FROM Album, Release WHERE Album.album_id = Release.album_id AND Release.country = 'Belgium';",1,1," SYNTAX: Correct! Well done.  RESULTS: Correct! Well done.  SEMANTICS: Correct! Well done. . This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
12,1,IPC033-293 v1,"SELECT Album.album_id FROM Album A, Release R WHERE A.album_id = R.album_id AND R.country = ´Belgium´;",0.375,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Referenced column ""´Belgium´"" not found in FROM clause!Candidate bindings: ""R.album_id""LINE 1: ...A.album_id = R.album_id AND R.country = ´Belgium´;                                                   ^. This quiz was graded as an intermediate quiz. We placed more weight on semantics, then syntax and finally results."
