Answer_original,Score_original,Score_final,score_difference
"SELECT title, SUM(duration) FROM Track, Album WHERE Track.album_id = Album.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) FROM Album A JOIN Track T On A.album_id = T.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT title, SUM( SELECT duration FROM Track, Album WHERE Track.album_id = Album.album_id) AS total FROM Album;",0.0,0.0,0.0
"SELECT A.title, SUM(T.duration) FROM Album A, Track T WHERE A.album_id = T.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT Track.album_id, title, duration FROM Track, Album WHERE Album.album_id = Track.album_id SUM duration;",0.0,0.0,0.0
"SELECT title, COUNT(duration) AS total_duration FROM Album GROUP BY title ;",0.0,0.25,0.25
"SELECT A.title, SUM(T.duration) AS album_duration FROM Track T, Album A WHERE A.album_id = T.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT min(title), sum(duration) FROM Album NATURAL JOIN Track GROUP BY album_id;  -- Each group only has one distinct title, but we group by album_id (otherwise albums with identical titles are grouped together) so we use `min` to get *one* value for title.",1.0,1.0,0.0
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id=Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) FROM Album A JOIN Track T ON A.album_id = T.album_id GROUP BY A.album_id;",1.0,0.25,-0.75
"SELECT DISTINCT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id = Track.album_id;",0.0,0.25,0.25
"SELECT title, SUM(duration) AS total FROM Album A, Track T WHERE A.album_id = T.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT a.title, SUM(t.duration) AS total_duration FROM Album a, Track t WHERE a.album_id = t.album_id;",0.0,0.25,0.25
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) AS total_duration FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT title, SUM(duration)  FROM album GROUP BY album_id",0.0,0.25,0.25
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT A.title, T.duration FROM Album A, Track T WHERE T.album_id=A.album_id   GROUP BY album_id HAVING COUNT(track_id)>=1;",0.0,0.25,0.25
"SELECT Album.title, SUM(Track.duration) AS album_duration FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id;",0.0,0.25,0.25
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id;",0.0,0.25,0.25
"SELECT Album.title, SUM(Track.duration) FROM Track, Album WHERE Track.album_id = Album.album_id GROUP BY Album.album_id;",1.0,0.25,-0.75
RENAME Track*Album (TA) SELECT title AND duration FROM TA,0.0,0.0,0.0
"SELECT title, SUM(song) AS album_duration FROM Album a, Track t WHERE a.album_id = t.album_id",0.0,0.25,0.25
"SELECT a.title, SUM(t.duration) FROM Album a INNER JOIN Track t ON a.album_id= t.album_id GROUP BY a.album_id;",1.0,0.25,-0.75
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT title, SUM(duration)  FROM Track T, Album A WHERE T.album_id = A.album_id;",0.0,0.25,0.25
"SELECT title, SUM(duration) FROM Album A, Track T WHERE A.album_id = T.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Track.album_id;",1.0,0.25,-0.75
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration)  FROM Album, Track WHERE Album.album_id = Track.album_id;",0.0,0.25,0.25
"SELECT A.title, SUM(T.duration) FROM Album A, Track T WHERE T.album_id = A.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration)  FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT a.title, SUM(t.duration) AS album_duration FROM Album a, Track t WHERE t.album_id = a.album_id GROUP BY t.album_id;",1.0,0.25,-0.75
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id=Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) AS total FROM Track, Album WHERE Album.album_id = Track.track_id GROUP BY Album.title;",0.0,0.25,0.25
"SELECT Album.title, SUM(Track.duration) FROM Track, Album WHERE Album.album_id = Track.album_id;",0.0,0.25,0.25
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id;",0.0,0.25,0.25
"SELECT Album.title, SUM(Track.duration) AS album_duration FROM Track  JOIN Album ON Album.album_id = Track.album_id GROUP BY Album.title",1.0,1.0,0.0
"SELECT title, SUM(duration) AS duration FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY album_id;",0.0,0.25,0.25
"SELECT title, SUM(duration) FROM Album NATURAL JOIN TRACK;",0.0,0.25,0.25
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Album.album_id;",1.0,0.25,-0.75
SELECT title FROM Album; SELECT SUM(duration) FROM Track WHERE album_id = album_id.Album;,0.0,0.25,0.25
"SELECT title, SUM(duration)  FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) FROM Album A, Track T WHERE A.album_id=T.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT title, SUM(duration)  FROM Album, Track  WHERE Album.album_id = Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) FROM Album A, Track T WHERE A.album_id = T.track_id GROUP BY A.title;",0.0,0.25,0.25
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id=Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT title, SUM(duration) FROM Album, Track WHERE Album.album_id=Track.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) AS total_duration FROM Album A JOIN Track T ON A.album_id = T.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT Album.title,",0.0,0.0,0.0
