Org Defined ID,Attempt #,Q #,Answer,Score,Out Of,Feedback
1,1,IPC033-234 v1,"SELECT email, COUNT(doi) FROM Written_by WHERE sequence_nr = 1 ",0.625,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: column ""email"" must appear in the GROUP BY clause or must be part of an aggregate function.Either add it to the GROUP BY list, or use ""ANY_VALUE(email)"" if the exact value of ""email"" is not important.LINE 1: SELECT email, COUNT(doi) FROM Written_by WHERE...               ^. There was an error in grading this quiz."
2,1,IPC033-234 v1,"SELECT email, COUNT(doi) FROM Written_by WHERE sequence_nr = 1;  ",0.625,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: column ""email"" must appear in the GROUP BY clause or must be part of an aggregate function.Either add it to the GROUP BY list, or use ""ANY_VALUE(email)"" if the exact value of ""email"" is not important.LINE 1: SELECT email, COUNT(doi) FROM Written_by WHERE...               ^. There was an error in grading this quiz."
3,1,IPC033-234 v1,"SELECT p.email, COUNT(doi) as Paper_Count FROM Person a, Written_by w, Paper p WHERE a.email = w.email and w.doi = p.doi AND w.sequence_nr = 1 GROUP BY 1, 2;",0.625,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Ambiguous reference to column name ""doi"" (use: ""p.doi"" or ""w.doi""). There was an error in grading this quiz."
4,1,IPC033-234 v1,"SELECT GROUP BY email, COUNT(doi) FROM Written WHERE sequence_nr = 1;",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . There was an error in grading this quiz."
5,1,IPC033-234 v1,"SELECT person_name, email, COUNT (doi) FROM Person, Written_by WHERE Person.email = Written_by.email AND Written_by.sequence_nr = 1 GROUP BY person_name",0.625,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Ambiguous reference to column name ""email"" (use: ""Written_by.email"" or ""Person.email""). There was an error in grading this quiz."
6,1,IPC033-234 v1,"SELECT email, person_name COUNT (Written_by.doi) AS number_of_papers FROM  Person, Written_by WHERE Person.email = Written_by.email  AND Written_by.sequence_nr = 1 GROUP BY person_name",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . There was an error in grading this quiz."
7,1,IPC033-234 v1,"SELECT P2.person_name, P2.email, COUNT(P1.doi) FROM Paper P1, Person P2, Written_by W WHERE P1.doi = W.doi AND W.email = P2.email GROUP BY person_name ;",0.625,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: column ""email"" must appear in the GROUP BY clause or must be part of an aggregate function.Either add it to the GROUP BY list, or use ""ANY_VALUE(email)"" if the exact value of ""email"" is not important.LINE 1: SELECT P2.person_name, P2.email, COUNT(P1.doi) FROM Paper P1, ...                               ^. There was an error in grading this quiz."
8,1,IPC033-234 v1,"SELECT email, COUNT(*) FROM Person, Written_by WHERE Person.email = Written_by.email AND Written_by.sequence_nr = ´1´ GROUP BY email ",0.625,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: Ambiguous reference to column name ""email"" (use: ""Written_by.email"" or ""Person.email""). There was an error in grading this quiz."
9,1,IPC033-234 v1,"Select Person.person_name, Person.email, Count(Paper.doi) as total_number_of_papers from Person JOIN Written_by ON Person.email=Written_by.email JOIN Paper ON Written_by.doi=Paper.doi Group by Person.person_name Where  Written_by.sequence_nr=1",0,1," SYNTAX: The query is not parseable.  SEMANTICS: Since the query is not parseable, we could not verify the semantics. . There was an error in grading this quiz."
10,1,IPC033-234 v1,"SELECT W.email, COUNT(W.doi) FROM Written_by W WHERE sequence_nr = 1;",0.625,1,"The query could not be executed. SYNTAX: Correct! Well done.  RESULTS: The output of the query is not correct.  SEMANTICS: The query does not have correct semantics. . Binder Error: column ""email"" must appear in the GROUP BY clause or must be part of an aggregate function.Either add it to the GROUP BY list, or use ""ANY_VALUE(email)"" if the exact value of ""email"" is not important.LINE 1: SELECT W.email, COUNT(W.doi) FROM Written_by W...               ^. There was an error in grading this quiz."
